# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
345.2507752;52.1861029;-9.8391913;4.3225289;0.0009052;8;0
345.4506888;52.1101401;-10.0241098;4.3226971;0.0007771;8;0
345.6506024;52.0342056;-10.2090412;4.3228396;0.0006491;8;0
345.850516;51.9582954;-10.3939817;4.3229566;0.000521;8;0
346.0504296;51.8824044;-10.5789304;4.3230479;0.000393;8;0
346.2503432;51.8065278;-10.7638851;4.3231137;0.000265;8;0
346.4502568;51.7306614;-10.9488432;4.3231539;0.000137;8;0
346.6501704;51.6547995;-11.1338044;4.3231685;0.000009;8;0
346.850084;51.5789383;-11.318765;4.3231575;-0.0001189;8;0
347.0499976;51.5030726;-11.5037241;4.323121;-0.0002468;8;0
347.2499112;51.4271978;-11.6886795;4.3230588;-0.0003747;8;0
347.4498247;51.3513093;-11.8736287;4.3229711;-0.0005027;8;0
347.6497383;51.2754018;-12.058571;4.3228579;-0.0006305;8;0
347.8496519;51.1994713;-12.2435033;4.322719;-0.0007584;8;0
348.0495655;51.1235127;-12.4284241;4.3225546;-0.0008862;8;0
348.2494791;51.0475213;-12.6133317;4.3223647;-0.001014;8;0
348.4493927;50.9714926;-12.7982234;4.3221492;-0.0011418;8;0
348.6493063;50.8954215;-12.9830983;4.3219082;-0.0012695;8;0
348.8492199;50.8193036;-13.1679535;4.3216417;-0.0013972;8;0
349.0491335;50.743134;-13.3527876;4.3213496;-0.0015249;8;0
349.2490471;50.666908;-13.5375985;4.3210319;-0.0016526;8;0
349.4489607;50.5906211;-13.722384;4.3206888;-0.0017803;8;0
349.6488743;50.5142683;-13.9071426;4.3203201;-0.001908;8;0
349.8487879;50.4378451;-14.0918719;4.3199259;-0.0020356;8;0
350.0487015;50.3613467;-14.2765702;4.3195062;-0.0021632;8;0
350.2486151;50.2847685;-14.4612353;4.319061;-0.0022908;8;0
350.4485286;50.2081057;-14.6458653;4.3185903;-0.0024184;8;0
350.6484422;50.1313536;-14.8304583;4.3180941;-0.0025459;8;0
350.8483558;50.0545076;-15.0150122;4.3175724;-0.0026734;8;0
351.0482694;49.977563;-15.1995249;4.3170252;-0.0028009;8;0
351.248183;49.9005151;-15.3839946;4.3164525;-0.0029284;8;0
351.4480966;49.8233592;-15.5684191;4.3158543;-0.0030559;8;0
351.6480102;49.7460906;-15.7527964;4.3152307;-0.0031833;8;0
351.8479238;49.6687047;-15.9371246;4.3145816;-0.0033108;8;0
352.0478374;49.5911969;-16.1214014;4.3139069;-0.0034382;8;0
352.247751;49.5135624;-16.305625;4.3132069;-0.0035656;8;0
352.4476646;49.4357965;-16.4897933;4.3124813;-0.003693;8;0
352.6475782;49.3578948;-16.6739038;4.3117303;-0.0038203;8;0
352.8474918;49.2798525;-16.8579551;4.3109539;-0.0039476;8;0
353.0474054;49.2016649;-17.0419445;4.310152;-0.0040749;8;0
353.2473189;49.1233275;-17.2258703;4.3093246;-0.0042022;8;0
353.4472325;49.0448355;-17.4097303;4.3084718;-0.0043295;8;0
353.6471461;48.9661846;-17.593522;4.3075936;-0.0044568;8;0
353.8470597;48.8873698;-17.7772438;4.3066899;-0.004584;8;0
354.0469733;48.8083868;-17.9608932;4.3057608;-0.0047112;8;0
354.2468869;48.7292308;-18.1444681;4.3048062;-0.0048384;8;0
354.4468005;48.6498972;-18.3279667;4.3038262;-0.0049656;8;0
354.6467141;48.5703817;-18.5113858;4.3028208;-0.0050927;8;0
354.8466277;48.4906793;-18.6947244;4.30179;-0.0052199;8;0
355.0465413;48.4107857;-18.8779795;4.3007338;-0.005347;8;0
355.2464549;48.3306963;-19.061149;4.2996521;-0.0054741;8;0
355.4463685;48.2504062;-19.2442313;4.2985451;-0.0056012;8;0
355.6462821;48.1699116;-19.4272227;4.2974126;-0.0057283;8;0
355.8461957;48.0892072;-19.6101224;4.2962548;-0.0058553;8;0
356.0461093;48.0082889;-19.7929273;4.2950715;-0.0059824;8;0
356.2460228;47.927152;-19.9756353;4.2938628;-0.0061094;8;0
356.4459364;47.8457918;-20.1582446;4.2926288;-0.0062364;8;0
356.64585;47.7642044;-20.3407513;4.2913693;-0.0063634;8;0
356.8457636;47.6823845;-20.5231548;4.2900845;-0.0064904;8;0
357.0456772;47.6003282;-20.7054517;4.2887743;-0.0066174;8;0
357.2455908;47.5180309;-20.8876398;4.2874387;-0.0067443;8;0
357.4455044;47.4354876;-21.0697176;4.2860777;-0.0068713;8;0
357.645418;47.3526949;-21.2516805;4.2846914;-0.0069982;8;0
357.8453316;47.2696472;-21.4335284;4.2832797;-0.0071251;8;0
358.0452452;47.1863408;-21.6152574;4.2818426;-0.007252;8;0
358.2451588;47.1027711;-21.7968654;4.2803801;-0.0073789;8;0
358.4450724;47.0189331;-21.9783507;4.2788923;-0.0075058;8;0
358.644986;46.9348236;-22.1597086;4.2773791;-0.0076327;8;0
358.8448996;46.8504369;-22.3409391;4.2758405;-0.0077597;8;0
359.0448131;46.7657694;-22.522038;4.2742766;-0.0078865;8;0
359.2447267;46.6808166;-22.703003;4.2726873;-0.0080132;8;0
359.4446403;46.5955735;-22.8838327;4.2710727;-0.0081399;8;0
359.6445539;46.510037;-23.0645219;4.2694328;-0.0082665;8;0
359.8444675;46.4242014;-23.2450707;4.2677675;-0.0083931;8;0
360.0443811;46.3380633;-23.4254746;4.2660769;-0.0085215;8;0
360.2442947;46.251618;-23.6057315;4.2643603;-0.0086511;8;0
360.4442083;46.1648606;-23.7858396;4.2626179;-0.0087809;8;0
360.6441219;46.0777879;-23.9657936;4.2608494;-0.008912;8;0
360.8440355;45.9903942;-24.1455933;4.2590546;-0.0090432;8;0
361.0439491;45.9026758;-24.3252342;4.2572337;-0.0091743;8;0
361.2438627;45.8146282;-24.5047139;4.2553865;-0.0093054;8;0
361.4437763;45.7262463;-24.6840304;4.2535131;-0.0094365;8;0
361.6436899;45.6375271;-24.8631783;4.2516135;-0.0095676;8;0
361.8436035;45.5484648;-25.0421574;4.2496877;-0.0096988;8;0
362.043517;45.4590559;-25.2209629;4.2477357;-0.0098299;8;0
362.2434306;45.3692958;-25.3995923;4.2457575;-0.009961;8;0
